,Title,Published_date,Views,Likes,Comments,Month
184,"@Nas Daily On Content Creation, Travelling Stories & Social Media Game | The Ranveer Show 99",2021-03-12,181787,11139,584,Mar
185,My HONEST Mental Health Story - Priyanka Chopra Jonas | The Ranveer Show,2021-03-10,167331,10307,170,Mar
186,7 Powerful Stories Of Inspiring Women Leaders | Women's Day Special | The Ranveer Show,2021-03-07,128389,9403,309,Mar
187,"Crypto Expert Explains How To Make Millions From Bitcoin, Sumit Gupta @CoinDCX | The Ranveer Show 98",2021-03-05,1109869,39727,16136,Mar
188,Meet India's CRYPTO Millionaire Sumit Gupta - EASY Explanation @CoinDCX | The Ranveer Show 97,2021-03-02,1336923,50940,12212,Mar
189,"Sudha Murthy - So What If I Lost The Battle, I Lived The War | The Ranveer Show 96",2021-02-26,2014995,57973,2422,Feb
190,THE WORST TIME PERIOD In History Is Coming Up. Here's Why. | BeerBiceps,2021-02-23,467917,24937,2472,Feb
191,The UNTOLD Truth About My Childhood | All Mothers Are Special | The Ranveer Show 95,2021-02-19,154343,13098,826,Feb
192,How Meditation Helps You Become Successful In Life | Gurudev Sri Sri Ravi Shankar X The Ranveer Show,2021-02-16,213753,13947,394,Feb
193,Zerodha's Nikhil Kamath On Dropping Out Of School To Become Successful | The Ranveer Show 94,2021-02-12,824655,26458,1312,Feb
194,How A Girlfriend (Or Wife) BUILDS Your Career - 6 Men's REAL Love Stories | The Ranveer Show,2021-02-09,186846,13368,405,Feb
195,Superstar Rana Daggubati | Bhallaldeva To Thanos | Inspiring Story Of Bahubali | The Ranveer Show 93,2021-02-05,233591,9850,485,Feb
196,The Social Media Growth SECRET You Should Know | BeerBiceps Motivation #AskRanveer,2021-02-02,126865,10018,341,Feb
197,My REAL LIFE Ghost Story | The Ranveer Show 92,2021-01-29,2567936,167469,11713,Jan
198,Udd Jaa Bandheya - Hindi Song | Harshil Karia X BeerBiceps,2021-01-25,122594,13158,680,Jan
199,Army Man To CEO - Story Of A LEGENDARY Indian Leader | Captain Raghu Raman | The Ranveer Show 91,2021-01-22,505685,10551,470,Jan
200,Dealing With Mental Health Issues? - Watch This | Alpha M. On The Ranveer Show,2021-01-19,126973,8245,239,Jan
201,"Brett Lee On His Cricket Journey, Sledging & Retirement Plans | The Ranveer Show 90",2021-01-15,147390,7610,427,Jan
202,Why Are You FAILING? | Failure Motivation For All 18-25 Year Old | BeerBiceps Motivation,2021-01-12,920462,61073,788,Jan
203,"How FILTERCOPY, DICE MEDIA & GOBBLE Were Built ft. Aditi Shrivastava | The Ranveer Show 89",2021-01-08,92128,3610,352,Jan
204,1 Habit That Will Change Everything | MAKE THIS YOUR MOST SUCCESSFUL YEAR 🔥 | BeerBiceps Motivation,2021-01-05,291262,25120,453,Jan
205,"Black Holes, Time Travel & Aliens With Abhi & Niyu | The Ranveer Show 88",2021-01-01,1173513,64814,2964,Jan
206,Perverted Questions With Atul Khatri | The Ranveer Show 87,2020-12-25,180134,6754,489,Dec
207,Indian Billionaire On The 1 Biggest Mistake Of ALL INDIANS | Kunal Shah On The Ranveer Show,2020-12-23,1066407,52434,1495,Dec
208,"Sea Monsters, Beasts & REALITY About The Oceans ft. @Abhi and Niyu | The Ranveer Show 86",2020-12-19,557791,27163,758,Dec
209,Former Monk Jay Shetty Explains The End Goal Of Meditation | The Ranveer Show,2020-12-15,82536,5785,238,Dec
